   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG    TIME        DTIME
     a     4.898     9.025    10.268     0.931     2.544     3.148     0.111      1.25   -2301.3       0.0
     a    -4.728     7.446     8.820     0.847     1.592     3.228     0.257      1.27   -1492.8     808.5
     a    -9.899     0.730     9.926     0.194     0.198     3.495     0.136      1.36   -2036.6     264.7
     b     0.159     0.852     0.867     0.659     0.875     0.954     0.201     -0.05     108.9    2410.2
     b     4.836    -5.531     7.347     0.365     0.392     2.119     0.148      0.82    -451.1    1850.2
     b    -2.002     5.715     6.056     0.354     0.378     2.100     0.176      0.81     -86.5    2214.7
     b     9.123     4.198    10.043     0.259     0.268     3.573     0.165      1.38   -1483.3     817.9
     b   -10.982    -7.154    13.107     0.113     0.114     2.403     0.072      0.95   -3901.0   -1599.7
     c    -6.251   -13.239    14.641     0.940     2.763     3.722     0.178      1.43   -3602.2   -1300.9
     c     5.135   -12.781    13.774     0.904     2.111     2.925     0.148      1.17   -3010.3    -709.0
     c    16.318     1.196    16.362     0.122     0.123     2.649     0.091      1.06   -5197.7   -2896.4
