#REFERENCE 3 133.6935800 -1.3603200
a -1.080 2.188 0.084 0.031 171.80 0.800 0.00 4.898 9.025 1.24 -1.24
a -1.080 2.188 0.084 0.031 171.80 0.800 0.00 -4.728 7.446 1.27 -1.27
a -1.080 2.188 0.084 0.031 171.80 0.800 0.00 -9.899 0.730 1.36 -1.36
b -0.936 -0.929 0.090 0.044 33.50 1.000 0.00 0.159 0.852 -0.05 0.05
b -0.936 -0.929 0.090 0.044 33.50 1.000 0.00 4.836 -5.531 0.81 -0.81
b -0.936 -0.929 0.090 0.044 33.50 1.000 0.00 -2.002 5.715 0.81 -0.81
b -0.936 -0.929 0.090 0.044 33.50 1.000 0.00 9.123 4.198 1.38 -1.38
b -0.936 -0.929 0.090 0.044 33.50 1.000 0.00 -10.982 -7.154 0.95 -0.95
c 2.375 -2.354 0.092 0.038 2.80 1.500 0.00 -6.251 -13.239 1.42 -1.42
c 2.375 -2.354 0.092 0.038 2.80 1.500 0.00 5.135 -12.781 1.16 -1.16
c 2.375 -2.354 0.092 0.038 2.80 1.500 0.00 16.318 1.196 1.06 -1.06
