   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG    TIME        DTIME
    2c    -2.068     3.640     4.187     0.940     2.761     1.607     0.079      0.52   -9730.8       0.0
    2c    16.128   -43.583    46.471     0.805     1.356     3.538     0.020      1.37  -41937.4  -32206.7
    2c   -13.383    13.693    19.147     0.112     0.112     8.571     0.085      2.33  -10358.5    -627.8
    2b    -2.078     3.653     4.202     0.940     2.749     1.618     0.080      0.52   -9727.3       3.5
    2b    16.136   -43.585    46.476     0.806     1.363     3.538     0.020      1.37  -41946.9  -32216.1
    2b   -13.369    13.685    19.132     0.110     0.111     8.577     0.085      2.33  -10351.0    -620.2
    2a    -2.113     3.705     4.266     0.936     2.667     1.663     0.082      0.55   -9712.7      18.1
    2a    16.141   -43.608    46.500     0.816     1.413     3.534     0.020      1.37  -41990.0  -32259.2
    2a   -13.305    13.675    19.080     0.102     0.102     8.610     0.085      2.34  -10321.5    -590.8
    3d   -17.338    42.722    46.106     0.996    11.594     8.068     0.070      2.27  -35617.1  -25886.3
    3d   -27.996   -36.625    46.099     0.994     8.747    10.217     0.105      2.52  -34490.6  -24759.8
    3d     0.284    -0.020     0.285     0.913     2.236     0.008     0.000     -5.20  -11953.1   -2222.3
    3d   -46.487     4.042    46.662     0.284     0.297     2.365     0.038      0.93  -32233.9  -22503.2
    3d    38.412     0.277    38.413     0.164     0.166     6.701     0.094      2.07  -22821.0  -13090.2
    3c   -17.393    42.708    46.114     0.996    11.558     8.097     0.070      2.27  -35626.2  -25895.5
    3c   -28.050   -36.580    46.097     0.993     8.691    10.183     0.105      2.52  -34496.9  -24766.2
    3c     0.285    -0.020     0.286     0.912     2.227     0.008     0.000     -5.19  -11951.9   -2221.2
    3c   -46.495     4.037    46.670     0.278     0.289     2.372     0.038      0.94  -32250.7  -22519.9
    3c    38.400     0.270    38.401     0.155     0.157     6.699     0.094      2.06  -22805.6  -13074.8
    3b   -17.349    42.717    46.105     0.996    11.753     8.076     0.070      2.27  -35615.1  -25884.3
    3b   -27.996   -36.627    46.101     0.994     8.866    10.215     0.105      2.52  -34494.4  -24763.6
    3b     0.285    -0.020     0.285     0.915     2.270     0.008     0.000     -5.20  -11952.9   -2222.1
    3b   -46.488     4.046    46.664     0.297     0.311     2.364     0.038      0.93  -32236.0  -22505.2
    3b    38.411     0.285    38.412     0.159     0.161     6.699     0.094      2.07  -22818.7  -13088.0
    3a   -17.277    42.752    46.111     0.996    11.581     8.023     0.069      2.26  -35634.4  -25903.6
    3a   -28.010   -36.593    46.082     0.994     8.921    10.219     0.105      2.52  -34466.3  -24735.5
    3a     0.284    -0.021     0.285     0.914     2.259     0.008     0.000     -5.20  -11953.8   -2223.0
    3a   -46.481     4.014    46.654     0.296     0.309     2.371     0.038      0.94  -32224.9  -22494.1
    3a    38.416     0.218    38.417     0.139     0.140     6.712     0.094      2.07  -22831.4  -13100.7
