#REFERENCE 0 0.0000000 0.0000000
2c -0.0044800 -0.0121063 1.536 0.505 20.50 1.0000 -0.00 
2c 0.0037175 0.0038037 1.449 1.295 141.79 1.0000 -0.96 
2b 0.0005772 0.0010146 1.433 0.253 127.18 1.0000 1.79 
2b -0.0044821 -0.0121071 1.539 0.504 20.57 1.0000 0.96 
2b 0.0037137 0.0038015 1.448 1.296 141.30 1.0000 -0.00 
2a 0.0005870 0.0010293 1.412 0.256 127.40 1.0000 -0.00 
2a -0.0044836 -0.0121134 1.538 0.489 20.75 1.0000 -0.80 
2a 0.0036957 0.0037987 1.424 1.286 135.06 1.0000 -1.76 
3d 0.0048161 0.0118671 5.672 0.244 15.83 2.0000 -0.20 
3d 0.0077766 -0.0101735 5.553 0.316 142.45 2.0000 -0.46 
3d -0.0000790 -0.0000055 0.081 0.017 178.92 2.0000 7.29 
3d 0.0129131 0.0011228 0.739 0.552 3.28 2.0000 1.12 
3d -0.0106700 0.0000769 1.163 0.986 123.40 2.0000 -0.00 
3c 0.0048315 0.0118634 5.657 0.244 15.87 2.0000 0.25 
3c 0.0077918 -0.0101611 5.511 0.316 142.40 2.0000 -0.00 
3c -0.0000793 -0.0000056 0.081 0.017 178.78 2.0000 7.74 
3c 0.0129153 0.0011214 0.736 0.553 4.43 2.0000 1.58 
3c -0.0106667 0.0000749 1.154 0.988 122.39 2.0000 0.46 
3b 0.0048192 0.0118657 5.683 0.241 15.83 2.0000 -1.33 
3b 0.0077767 -0.0101742 5.560 0.313 142.46 2.0000 -1.59 
3b -0.0000790 -0.0000055 0.081 0.017 178.88 2.0000 6.16 
3b 0.0129134 0.0011239 0.740 0.545 3.40 2.0000 -0.00 
3b -0.0106697 0.0000791 1.154 0.983 125.72 2.0000 -1.12 
3a 0.0047991 0.0118755 5.639 0.243 15.70 2.0000 0.00 
3a 0.0077806 -0.0101646 5.595 0.313 142.36 2.0000 -0.26 
3a -0.0000788 -0.0000058 0.081 0.017 178.52 2.0000 7.49 
3a 0.0129115 0.0011149 0.743 0.548 6.68 2.0000 1.32 
3a -0.0106712 0.0000607 1.147 0.997 124.34 2.0000 0.20 
