   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG    TIME        DTIME
    a2   -10.080     1.215    10.153     0.878     1.831     3.541     0.089      1.37   -2163.6       0.0
    a2    -4.797     7.802     9.158     0.761     1.173     3.445     0.101      1.34   -1651.8     511.8
    a2     4.390     9.387    10.363     0.220     0.225     3.287     0.079      1.29   -2328.1    -164.5
    a1     4.382     9.388    10.360     0.877     1.828     3.291     0.079      1.29   -2326.0    -162.3
    a1    -4.791     7.807     9.160     0.755     1.152     3.445     0.101      1.34   -1652.6     511.0
    a1   -10.084     1.213    10.157     0.220     0.225     3.537     0.089      1.37   -2166.5      -2.9
    b2     0.124     0.937     0.945     0.809     1.375     0.977     0.033     -0.03     115.7    2279.3
    b2    -1.949     5.625     5.953     0.521     0.610     2.131     0.045      0.82     -60.2    2103.4
    b2     9.160     4.069    10.023     0.414     0.454     3.592     0.108      1.39   -1467.6     696.0
    b2   -10.957    -7.238    13.132     0.220     0.225     2.399     0.044      0.95   -3921.4   -1757.8
    b2     4.903    -5.567     7.419     0.092     0.092     2.143     0.037      0.83    -471.9    1691.8
    b1     0.128     0.929     0.938     0.743     1.110     0.974     0.033     -0.03     115.3    2279.0
    b1    -1.952     5.635     5.963     0.337     0.358     2.129     0.045      0.82     -62.5    2101.2
    b1     4.898    -5.562     7.411     0.313     0.329     2.142     0.037      0.83    -469.3    1694.3
    b1     9.154     4.080    10.022     0.220     0.225     3.591     0.108      1.39   -1467.2     696.5
    b1   -10.963    -7.230    13.132     0.210     0.215     2.399     0.044      0.95   -3921.5   -1757.8
    c3    16.426     0.707    16.441     0.846     1.588     2.681     0.056      1.07   -5230.4   -3066.8
    c3    -5.861   -13.597    14.806     0.840     1.546     3.805     0.119      1.45   -3701.1   -1537.5
    c3     5.222   -13.026    14.034     0.220     0.225     3.067     0.069      1.22   -3165.3   -1001.7
    c2    -5.889   -13.593    14.814     0.904     2.112     3.791     0.118      1.45   -3708.4   -1544.8
    c2     5.245   -13.014    14.031     0.845     1.580     3.056     0.069      1.21   -3165.1   -1001.4
    c2    16.415     0.702    16.430     0.220     0.225     2.684     0.056      1.07   -5220.5   -3056.8
    c1    16.425     0.689    16.440     0.903     2.103     2.683     0.056      1.07   -5227.6   -3064.0
    c1     5.234   -13.029    14.041     0.825     1.463     3.068     0.069      1.22   -3170.3   -1006.7
    c1    -5.859   -13.607    14.815     0.220     0.225     3.803     0.119      1.45   -3707.3   -1543.7
