   #ID       X         Y         R       EPS       TAU       AMP       DMAG    TIME        DTIME
    a1   -12.298     0.134    12.299     0.677     0.919     3.183      1.26   -2978.0       0.0
    a1     6.359    10.761    12.499     0.659     0.876     3.042      1.21   -3148.8    -170.8
    a1    -5.623     9.320    10.884     0.473     0.537     2.791      1.11   -2082.8     895.2
    a2     0.131     0.925     0.934     0.903     2.102     0.975     -0.03     115.3    3093.3
    a2    -1.954     5.638     5.967     0.712     1.013     2.123      0.82     -63.3    2914.7
    a2     9.147     4.090    10.019     0.646     0.846     3.578      1.38   -1465.5    1512.5
    a2   -10.964    -7.231    13.133     0.538     0.639     2.393      0.95   -3922.9    -944.9
    a2     4.898    -5.554     7.405     0.310     0.327     2.137      0.82    -467.2    2510.8
    a3    -2.800   -11.770    12.099     0.853     1.636     5.134      1.78   -2636.2     341.8
    a3     3.624   -11.182    11.755     0.793     1.300     4.534      1.64   -2483.6     494.4
    a3    13.669    -0.526    13.679     0.635     0.821     2.753      1.10   -4029.7   -1051.7
